ARE; Alexandria Real Estate Equities; Real Estate; Office REITs;
AMT; American Tower Corp.; Real Estate; Specialized REITs;
AIV; Apartment Investment & Management; Real Estate; Residential REITs;
AVB; AvalonBay Communities; Real Estate; Residential REITs;
BXP; Boston Properties; Real Estate; Office REITs;
CBRE; CBRE Group; Real Estate; Real Estate Services;
CCI; Crown Castle International Corp.; Real Estate; Specialized REITs;
DLR; Digital Realty Trust Inc; Real Estate; Specialized REITs;
DRE; Duke Realty Corp; Real Estate; Industrial REITs;
EQIX; Equinix; Real Estate; Specialized REITs;
EQR; Equity Residential; Real Estate; Residential REITs;
ESS; Essex Property Trust, Inc.; Real Estate; Residential REITs;
EXR; Extra Space Storage; Real Estate; Specialized REITs;
FRT; Federal Realty Investment Trust; Real Estate; Retail REITs;
PEAK; Healthpeak Properties; Real Estate; Health Care REITs;
HST; Host Hotels & Resorts; Real Estate; Hotel & Resort REITs;
IRM; Iron Mountain Incorporated; Real Estate; Specialized REITs;
KIM; Kimco Realty; Real Estate; Retail REITs;
MAA; Mid-America Apartments; Real Estate; Residential REITs;
PLD; Prologis; Real Estate; Industrial REITs;
PSA; Public Storage; Real Estate; Specialized REITs;
O; Realty Income Corporation; Real Estate; Retail REITs;
REG; Regency Centers Corporation; Real Estate; Retail REITs;
SBAC; SBA Communications; Real Estate; Specialized REITs;
SPG; Simon Property Group Inc; Real Estate; Retail REITs;
SLG; SL Green Realty; Real Estate; Office REITs;
UDR; UDR, Inc.; Real Estate; Residential REITs;
VTR; Ventas Inc; Real Estate; Health Care REITs;
VNO; Vornado Realty Trust; Real Estate; Office REITs;
WELL; Welltower Inc.; Real Estate; Health Care REITs;
WY; Weyerhaeuser; Real Estate; Specialized REITs;
